date,open,High,low,close,adjclose,volume
5/19/2021,36.976425,38.424492,18.678583,23.383896,23.383896,583118261
5/20/2021,23.133921,28.166262,20.922798,25.196884,25.196884,356467352
5/21/2021,25.104174,26.717781,18.454182,21.801769,21.801769,262253583
5/22/2021,21.866186,22.172253,18.335522,18.851139,18.851139,159666877
5/23/2021,18.847212,19.665552,12.147003,15.756152,15.756152,241105086
5/24/2021,15.62592,20.477659,15.123733,19.410948,19.410948,248935736
5/25/2021,19.391464,20.188707,17.091576,19.450809,19.450809,177064640
5/26/2021,19.492048,21.447901,19.057198,20.905676,20.905676,183798753
5/27/2021,20.833689,21.231421,18.79019,19.000336,19.000336,120995855
5/28/2021,19.067225,19.595343,16.057718,16.733412,16.733412,124661585
5/29/2021,16.730297,17.593405,15.204785,16.127493,16.127493,73317089
5/30/2021,16.178581,17.437275,15.171513,16.534386,16.534386,66551414
5/31/2021,16.520447,18.194424,15.716959,18.16132,18.16132,83671863
6/1/2021,18.157639,18.550896,17.159929,17.77317,17.77317,80656521
6/2/2021,17.750004,19.373064,17.175003,18.67708,18.67708,101921641
6/3/2021,18.696392,20.689634,18.282835,20.243713,20.243713,118155006
6/4/2021,20.278732,20.542568,17.458096,18.247404,18.247404,108497012
6/5/2021,18.259314,19.149021,16.929382,17.250303,17.250303,92501652
6/6/2021,17.23608,17.990116,17.127634,17.40011,17.40011,48841452
6/7/2021,17.397755,18.059637,15.379606,15.52264,15.52264,129221032
6/8/2021,15.551502,16.0418,13.700927,14.86894,14.86894,123776326
6/9/2021,14.810752,15.756422,13.679164,15.386891,15.386891,107246374
6/10/2021,15.391997,15.578578,13.782871,14.176408,14.176408,90307844
6/11/2021,14.200589,14.610232,13.160651,13.418979,13.418979,79178329
6/12/2021,13.415623,13.879983,12.660572,13.55193,13.55193,79705597
6/13/2021,13.531064,14.983818,13.275484,14.775566,14.775566,97026435
6/14/2021,14.749501,15.444484,14.437775,14.965836,14.965836,99438783
6/15/2021,15.073719,15.518419,14.626017,15.180043,15.180043,95150889
6/16/2021,14.719949,14.920153,13.929624,14.067678,14.067678,79021452
6/17/2021,14.083843,15.474483,14.030822,14.832069,14.832069,100424428
6/18/2021,14.864891,15.277356,13.13954,13.627871,13.627871,78295122
6/19/2021,13.638351,14.04829,13.237807,13.457729,13.457729,37953811
6/20/2021,13.397244,14.14352,12.837082,13.970991,13.970991,55939670
6/21/2021,13.929668,14.064413,11.078562,11.210616,11.210616,86300256
6/22/2021,11.192224,11.744131,9.374876,10.526582,10.526582,109716996
6/23/2021,10.552963,11.790402,10.183929,11.193947,11.193947,76905669
6/24/2021,11.465366,11.754492,10.843753,11.482957,11.482957,51808717
6/25/2021,11.493886,11.752287,10.208093,10.27067,10.27067,53164067
6/26/2021,10.244574,10.597162,9.791808,10.275571,10.275571,42029114
6/27/2021,10.329536,10.986549,10.098623,10.91908,10.91908,34727228
6/28/2021,10.947499,11.46824,10.726836,11.286296,11.286296,45312867
6/29/2021,11.300424,12.349825,11.094192,11.85142,11.85142,60893173
6/30/2021,11.93125,12.089553,11.042938,11.955547,11.955547,52911536
7/1/2021,11.950309,12.069079,11.013508,11.229811,11.229811,33886419
7/2/2021,11.22079,11.351058,10.581777,11.132654,11.132654,40854419
7/3/2021,11.112865,11.67279,10.884224,11.503907,11.503907,33146235
7/4/2021,11.49773,12.87262,11.213143,12.3501,12.3501,60403499
7/5/2021,12.338711,12.419793,11.600727,12.02681,12.02681,64962340
7/6/2021,12.050247,14.199019,12.045264,13.357434,13.357434,115274691
7/7/2021,13.354413,14.15504,13.05963,13.089753,13.089753,90665563
7/8/2021,13.112231,13.112231,11.857613,12.119664,12.119664,66426383
7/9/2021,12.097369,12.869099,11.647982,12.544168,12.544168,63493395
7/10/2021,12.553657,12.83905,11.876798,12.025737,12.025737,36867384
7/11/2021,12.023887,12.487708,11.926104,12.413665,12.413665,31468064
7/12/2021,12.427888,12.834543,11.722985,12.186533,12.186533,51376241
7/13/2021,12.161838,12.436649,11.770151,11.914669,11.914669,43903713
7/14/2021,11.900751,12.093231,11.136691,11.792096,11.792096,43795905
7/15/2021,11.800612,12.095834,11.138983,11.349886,11.349886,34811185
7/16/2021,11.389361,11.816188,10.843706,10.860897,10.860897,47233363
7/17/2021,10.813634,11.148224,10.737405,10.927746,10.927746,32780916
