date,open,high,low,close,adjclose,volume
12/16/2021,472.570007,472.869995,464.799988,466.450012,459.496857,116568600
12/17/2021,461.549988,464.73999,458.059998,459.869995,454.606476,135511600
12/20/2021,454.480011,455.399994,451.140015,454.980011,449.772461,107134800
12/21/2021,458.609985,463.209991,456.309998,463.059998,457.76001,69806300
12/22/2021,462.790009,467.809998,462.579987,467.690002,462.337006,58890200
12/23/2021,468.75,472.190002,468.640015,470.600006,465.213715,56439700
12/27/2021,472.059998,477.309998,472.01001,477.26001,471.797485,56808600
12/28/2021,477.720001,478.809998,476.059998,476.869995,471.411896,47274600
12/29/2021,476.980011,478.559998,475.920013,477.480011,472.014954,54503000
12/30/2021,477.929993,479,475.670013,476.160004,470.710083,55329000
12/31/2021,475.640015,476.859985,474.670013,474.959991,469.523773,65237400
1/3/2022,476.299988,477.850006,473.850006,477.709991,472.24231,72668200
1/4/2022,479.220001,479.980011,475.579987,477.549988,472.084106,71178700
1/5/2022,477.160004,477.980011,468.279999,468.380005,463.019073,104538900
1/6/2022,467.890015,470.820007,465.429993,467.940002,462.584137,86858900
1/7/2022,467.950012,469.200012,464.649994,466.089996,460.75531,85111600
1/10/2022,462.700012,465.73999,456.600006,465.51001,460.181946,119362000
1/11/2022,465.230011,469.850006,462.049988,469.75,464.373444,74303100
1/12/2022,471.589996,473.200012,468.940002,471.019989,465.628876,67605400
1/13/2022,472.190002,472.880005,463.440002,464.529999,459.213165,91173100
1/14/2022,461.190002,465.089996,459.899994,464.720001,459.401001,95890900
1/18/2022,459.73999,459.959991,455.309998,456.48999,451.265167,109709100
1/19/2022,458.130005,459.609985,451.459991,451.75,446.579437,109357600
1/20/2022,453.75,458.73999,444.5,446.75,441.636658,122379700
1/21/2022,445.559998,448.059998,437.950012,437.980011,432.967072,202271200
1/24/2022,432.029999,440.380005,420.76001,439.839996,434.805756,251783900
1/25/2022,433.059998,439.720001,427.149994,434.470001,429.497192,167997300
1/26/2022,440.720001,444.040009,428.859985,433.380005,428.419678,186391100
1/27/2022,438.26001,441.589996,429.450012,431.23999,426.304169,149878300
1/28/2022,432.679993,442,427.820007,441.950012,436.891632,164457400
1/31/2022,441.23999,450.279999,439.809998,449.910004,444.760498,152251400
2/1/2022,450.679993,453.630005,446.940002,452.950012,447.765747,123155400
2/2/2022,455.5,458.119995,453.049988,457.350006,452.115356,117361000
2/3/2022,450.950012,452.970001,445.709991,446.600006,441.488373,118024400
