Created on 01-25-2022,https://www.CryptoDataDownload.com
Unix Timestamp,Date,Symbol,Open,High,Low,Close,Volume
1642996800000,2022-01-24 04:00:00,LTCUSD,108.91,111.96,97.52,109.21,61855.88438
1642910400000,2022-01-23 04:00:00,LTCUSD,107.22,112.7,105.87,108.91,22489.56085
1642824000000,2022-01-22 04:00:00,LTCUSD,112.97,113.78,96.59,107.22,73696.27356
1642737600000,2022-01-21 04:00:00,LTCUSD,122.0,126.0,109.96,112.97,35170.55977
1642651200000,2022-01-20 04:00:00,LTCUSD,138.94,142.79,121.98,122.0,24021.6707
1642564800000,2022-01-19 04:00:00,LTCUSD,137.08,139.18,135.74,138.94,3961.30812
1642478400000,2022-01-18 04:00:00,LTCUSD,147.38,148.44,136.59,137.08,29640.78212
1642392000000,2022-01-17 04:00:00,LTCUSD,147.6,153.85,144.29,147.38,39148.38811
1642305600000,2022-01-16 04:00:00,LTCUSD,145.73,151.17,143.38,147.6,12073.13988
1642219200000,2022-01-15 04:00:00,LTCUSD,147.09,150.75,144.75,145.73,17507.38819
1642132800000,2022-01-14 04:00:00,LTCUSD,138.53,148.78,136.19,147.09,22933.62277
1642046400000,2022-01-13 04:00:00,LTCUSD,139.54,141.04,134.72,138.53,10183.03051
1641960000000,2022-01-12 04:00:00,LTCUSD,131.48,142.32,131.48,139.54,8532.81126
1641873600000,2022-01-11 04:00:00,LTCUSD,129.3,133.64,126.8,131.48,10974.70613
1641787200000,2022-01-10 04:00:00,LTCUSD,129.96,131.08,120.76,129.3,18535.88202
1641700800000,2022-01-09 04:00:00,LTCUSD,130.6,132.6,127.75,129.96,7617.42656
1641614400000,2022-01-08 04:00:00,LTCUSD,132.2,134.67,125.0,130.6,15799.85887
1641528000000,2022-01-07 04:00:00,LTCUSD,130.78,135.34,125.98,132.2,23870.61734
1641441600000,2022-01-06 04:00:00,LTCUSD,133.99,138.03,129.98,130.78,18733.20567
1641355200000,2022-01-05 04:00:00,LTCUSD,148.7,149.07,129.95,133.99,14077.24331
1641268800000,2022-01-04 04:00:00,LTCUSD,147.76,151.66,145.31,148.7,10450.86899
1641182400000,2022-01-03 04:00:00,LTCUSD,149.65,151.16,146.16,147.76,12856.47038
1641096000000,2022-01-02 04:00:00,LTCUSD,150.35,153.3,147.99,149.65,7487.27248
1641009600000,2022-01-01 04:00:00,LTCUSD,147.83,151.0,146.63,150.35,9348.7834
1640923200000,2021-12-31 04:00:00,LTCUSD,148.35,152.6,143.66,147.83,12610.84951
1640836800000,2021-12-30 04:00:00,LTCUSD,144.9,150.01,144.9,148.35,9152.67404
1640750400000,2021-12-29 04:00:00,LTCUSD,148.66,150.94,142.88,144.9,18176.86205
1640664000000,2021-12-28 04:00:00,LTCUSD,151.23,153.41,144.65,148.66,22208.276
1640577600000,2021-12-27 04:00:00,LTCUSD,156.75,161.24,149.49,151.23,14858.15578
1640491200000,2021-12-26 04:00:00,LTCUSD,153.96,157.82,153.47,156.75,10377.31097
1640404800000,2021-12-25 04:00:00,LTCUSD,161.12,163.7,153.24,153.96,17584.5408
1640318400000,2021-12-24 04:00:00,LTCUSD,165.49,165.94,160.24,161.12,33754.278
1640232000000,2021-12-23 04:00:00,LTCUSD,157.46,166.8,153.82,165.49,64186.91239
